latitude,longitude,streetAddressLine1,streetAddressLine2,streetAddressLine3,city,countrySubdivisionCode
51.877854,-0.376379,London Luton Airport,Landside,,London,ENG
51.877854,-0.376289,"Unit 23, Departure Lounge",Luton Airport,,London,ENG
51.499105,-0.1335,"17 Broadway, Westminister",,,London,ENG
51.498126,-0.132674,27 Victoria Street,,,London,ENG
51.49896,-0.13554,16-18 Palmer Street,,,London,ENG
51.494957,-0.142923,"Victoria Station, Platform 2 Unit 3B",15 Victoria Street,,London,ENG
51.495865,-0.144417,"Victoria Station Frontage, Unit 38",15 Victoria St,,London,ENG
51.495192,-0.145095,Platform TBC,,,London,ENG
51.49429,-0.14688,98 Buckingham Palace road,Chantrey House,Chantrey House,London,ENG
51.50735,-0.1424,52 Berkeley St.,,,London,ENG
51.502022,-0.11783,Belvedere Road,"3C and 3D, East Block County Hall",,London,ENG
51.507412,-0.12291,1-3 Villiers street,,,London,ENG
51.49229,-0.14811,Unit 2 1 departures terminal gate 11,,,London,ENG
51.5088,-0.14408,27 Berkeley St,,Berkeley Square,London,ENG
51.5103,-0.13912,6A Vigo Street,London,,London,ENG
51.512726,-0.133316,60 - 66 Wardour Street,Ground Floor,,London,ENG
51.485635,-0.123643,2 South Lambeth Road,Vauxhall,,London,ENG
51.503654,-0.110813,"Waterloo East Station, Platform B/C",Sandell Street,,London,ENG
51.51235,-0.12164,10 Russell Street,,,London,ENG
51.51402,-0.13925,34 Great Marlborough St,,,London,ENG
51.51528,-0.1353,170 Wardour Street,,,London,ENG
51.51521,-0.13025,Charing Cross Road,Unit 1  129-133,,London,ENG
51.514792,-0.12674,11 Monmouth Street,,,London,ENG
51.514346,-0.142534,22-23 Princes St,,,London,ENG
51.514684,-0.14402,13b Hanover Square,,,London,ENG
51.50137,-0.16124,New Retail Unit,,,London,ENG
51.5166,-0.12933,112 - 116 New Oxford Street,,,London,ENG
51.5139,-0.11766,10 Kingsway,Unit B2; St Catherines House,St. Katherine's House,London,ENG
51.513905,-0.149374,381 Oxford Street,Unit G13,West One Centre,London,ENG
51.49966,-0.104424,Unit 4&5 Blackfriars Circus,143 Blackfriars Road,,London,ENG
51.50049,-0.162597,44-48 Brompton Road,Unit 4a 44-58,,London,ENG
51.516126,-0.14389,33 Cavendish Square,Unit 1,,London,ENG
51.51469,-0.15029,14 James Street,,,London,ENG
51.480459,-0.128214,62 Wandsworth Road,,,London,ENG
51.517483,-0.142683,1 - 2  Langham Place,,,London,ENG
51.5164,-0.11988,99 Kingsway,,"Kingsway House, Grd Flr",London,ENG
51.51828,-0.12578,51 Great Russell Street,,,London,ENG
51.513441,-0.158414,Retail Unit,Marble Arch Underground Station,,London,ENG
51.49201,-0.16554,65-71 Sloane Avenue,,,London,ENG
51.52071,-0.13471,77 Tottenham Court Road,,,London,ENG
51.50819,-0.10188,54 Hopton Street,Falcon Point,,London,ENG
51.51257,-0.10408,30 34A New Bridge Street,,,London,ENG
51.514116,-0.161251,1a York House,26 Edgware Road,,London,ENG
51.48843,-0.16617,123a Kings Road,,,London,ENG
51.521388,-0.143514,159 Great Portland Street,,,London,ENG
51.52237,-0.13582,175 Tottenham  Court Road,,,London,ENG
51.50808,-0.09608,New Globe Walk (Emerson Street),Unit 1-3 Benbow House,,London,ENG
51.50083,-0.09349,223-227 Borough High Street,,,London,ENG
51.524337,-0.138213,5 Warren Street,,,London,ENG
51.516671,-0.10361,3 Fleet Place,Unit 2,,London,ENG
