latitude,longitude,streetAddressLine1,streetAddressLine2,streetAddressLine3,city,countrySubdivisionCode
40.577865,-73.961132,607 Brighton Beach Avenue,,,Brooklyn,NY
40.587069,-73.953371,1600 Sheepshead Bay Road,,,Brooklyn,NY
40.575619,-73.977478,825 Surf Avenue,#4,,Brooklyn,NY
40.581266,-73.985443,3035 Cropsey Ave,,,Brooklyn,NY
40.599827,-73.94197,3442 Nostrand Ave,,,Brooklyn,NY
40.608761,-73.958973,1715 East 13th St,,,New York,NY
40.608786,-73.958591,1417 Kings Highway,,,Brooklyn,NY
40.595246,-74.000073,8973 Bay Parkway,,,Brooklyn,NY
40.593892,-74.001249,8973-95 Bay Parkway,,,Brooklyn,NY
40.605017,-73.998609,1971 86th Street,,,Brooklyn,NY
40.611043,-73.920461,5400 Avenue U,,,Brooklyn,NY
40.619171,-73.989913,6423 18th Avenue,,,Brooklyn,NY
40.622635,-73.936667,1927 Flatbush Ave,,,Brooklyn,NY
40.631265,-73.94724,2201 Nostrand Ave,,,Brooklyn,NY
40.63234,-73.948574,33-42 Hillel Place,,,Brooklyn,NY
40.62651,-73.916934,2177 Ralph Ave,,Georgetowne Shopping Center,Brooklyn,NY
40.621133,-74.025818,514 86th Street,,,Brooklyn,NY
40.639986,-73.925951,5200 Kings Highway,A,,Brooklyn,NY
40.619274,-74.032948,9202 Third Avenue,,N/A,Brooklyn,NY
40.631573,-74.027562,7419 3rd Avenue,,,Brooklyn,NY
40.655865,-74.008189,241 37th Street,Suite 1-1-B15,,Brooklyn,NY
40.666855,-73.981778,444 Ninth St.,,,Brooklyn,NY
40.671024,-73.957698,341 Eastern Pkwy,,,Brooklyn,NY
40.669414,-73.989885,476 4th Ave,,,Brooklyn,NY
40.671978,-73.977465,166 7th Avenue,,,Brooklyn,NY
40.677213,-73.982949,225 4th Avenue,,,Brooklyn,NY
40.652939,-73.87027,519 Gateway Dr,,,Brooklyn,NY
40.684679,-73.977635,139 Flatbush Ave,,Atlantic Terminal,Brooklyn,NY
40.685141,-73.975955,625 Atlantic Avenue,,,Brooklyn,NY
40.588422,-74.102701,1717 Richmond Rd.,,,Staten Island,NY
40.644755,-74.074348,55B Richmond Terrace,,,Staten Island,NY
40.686224,-73.990999,164 Smith Street,,,Brooklyn,NY
40.688798,-73.962871,325 Lafayette,,,Brooklyn,NY
40.689314,-73.980889,395 Flatbush Ave Extension,D,,Brooklyn,NY
40.689104,-73.985949,45 Hoyt Street,D,,Brooklyn,NY
40.569617,-74.109647,2530 Hylan Blvd,,,Staten Island,NY
40.690264,-73.983201,445 Gold St,,,Brooklyn,NY
40.690593,-73.986092,422 Fulton Street,,,Brooklyn,NY
40.691764,-73.988566,348 Fulton Street,,Fulton Mall,Brooklyn,NY
40.692587,-73.983877,4 Chase Metro Tech Center,,,Brooklyn,NY
40.692446,-73.991266,50 Court Street,,,Brooklyn,NY
40.564064,-74.114669,2754 Hylan Blvd,,,Staten Island,NY
40.694009,-73.986929,6 Metro Tech,,Poly Tech Institute,Brooklyn,NY
40.694965,-73.9831,309 Gold St,,,Brooklyn,NY
40.694563,-73.993968,134 Montague Street,,,Brooklyn,NY
40.630455,-74.106125,480 Forest Ave,,,Staten Island,NY
40.700018,-73.941118,774 Broadway,,,Brooklyn,NY
40.702695,-73.990904,67 Front Street,,,Brooklyn,NY
40.756861,-73.972635,560 Lexington Avenue,,,New York,NY
40.755021,-73.973223,511 Lexington Avenue,,,New York,NY
40.755522,-73.974665,277 Park Ave,17th Floor-Post Security,,New York,NY
40.756963,-73.975901,425 Madison Avenue,,,New York,NY
40.757375,-73.969097,875 Third Avenue,,,New York,NY
40.754122,-73.971714,757 Third Avenue,,,New York,NY
40.759594,-73.973601,515 Madison Avenue,,,New York,NY
40.759446,-73.969979,655 Lexington Avenue,,,New York,NY
40.755678,-73.976897,383 Madison ave,,,New York,NY
40.756301,-73.978168,575 Fifth Avenue,,,New York,NY
40.753668,-73.976791,7800 Grand Central Station,Track 35,Grand Central Station,New York,NY
40.7523,-73.975228,425 Lexington,,,New York,NY
40.761266,-73.969101,135 East 57th Street,,,New York,NY
40.751585,-73.97359,685 Third Avenue,,,New York,NY
40.757778,-73.979611,28 West 48th Street,,,New York,NY
40.753877,-73.978716,340 Madison Avenue,,,New York,NY
40.755463,-73.980151,2 West 45th,,,New York,NY
40.756067,-73.964842,969 1st Ave,,,New York,NY
40.760708,-73.978824,1290 Sixth Avenue,,,New York,NY
40.763077,-73.972348,600 Madison Avenue,,,New York,NY
40.750865,-73.975279,150 E. 42nd Street,,,New York,NY
40.751783,-73.977646,125 Park Ave,,,New York,NY
40.757054,-73.981142,55 West 46th st,,,New York,NY
40.759505,-73.980468,30 Rockefeller Plaza,,,New York,NY
40.761796,-73.979542,1301 Avenue of the Americas,,,New York,NY
40.750332,-73.977043,360 Lexington Avenue,,,New York,NY
40.752899,-73.981094,485 Fifth Ave,,,New York,NY
40.763708,-73.977304,1380 Sixth Avenue,,,New York,NY
40.749207,-73.975333,605 Third Ave,,,New York,NY
40.750605,-73.979141,90 Park Ave,,,New York,NY
40.764767,-73.97709,1411 Sixth Avenue,,,New York,NY
40.755528,-73.984085,1101 - 1109 Avenue of the Americas,,,New York,NY
40.764705,-73.966362,822 Lexington Ave,,,New York,NY
40.760755,-73.983693,750 Seventh Avenue,,,New York,NY
40.760348,-73.961138,1102 1st Ave,,,New York,NY
40.75766,-73.985077,152 West 45th St.,,,New York,NY
40.764205,-73.964277,1077 3rd Avenue,,,New York,NY
40.764387,-73.981078,870 7th Avenue,,,New York,NY
40.759593,-73.985248,1585 Broadway,,,New York,NY
