latitude,longitude,streetAddressLine1,streetAddressLine2,streetAddressLine3,city,countrySubdivisionCode
37.5198,126.88968,77-1 대창타운빌 1층,,,서울,11
37.523134,126.885822,3 30-17,"247, Yangpyeong-dong 1-ga,",,"Yeongdeungpo-gu,",11
37.51738,126.897289,"55-5, Mullae-dong 3-ga, Yeongdeungpo-gu",,,Seoul,11
37.51467,126.89865,54-66,,,서울,11
37.527694,126.896289,393 DangSangDong 3-Ga,,,Seoul,11
37.508828,126.889488,"369-51 Shindorim-Dong, Guro-Gu",B2,,Seoul,11
37.523581,126.876545,"404-13, Mok-dong",Yangcheon-gu,,Seoul,11
37.517172,126.903269,441-10 2층 228호,,,서울,11
37.508636,126.889225,"369-51 Shindorim-Dong, Guro-Gu",2F,,Seoul,11
37.516985,126.903387,442 Yeongdeungpo-Dong 4Ga,Artrium B2,,Seoul,11
37.520393,126.904497,6 145,,,Seoul,11
37.517874,126.905091,15 Yeongjungro Yeongdeunpo-dong,Yeongdeunpo-gu,,Seoul,11
37.506984,126.890338,"3-25, Guro-dong, Guro-gu",,,Seoul,11
37.5173,126.905548,434-5 신세계백화점 B관 1층,,,서울,11
37.51711,126.90565,"Annex A 434-5, Yeongdeungpo-Dong 4-Ga",Yeongdeungpo-Gu,B2 Shinsegae Department Store,Seoul,11
37.526848,126.875023,916 현대백화점 목동점 지하 2층,,,서울,11
37.52592,126.905222,Yeongdeungpo-dong is 8 35-1,Yeongdeungpo-gu,,Seoul,11
37.530163,126.877181,Mokdong dongro,,,Seoul,11
37.533506,126.89659,"2, Yangpyeongdong 4-ga",Yeongdeungpo-gu,,Seoul,11
37.529391,126.875181,917번지 목동파라곤 1층,,,서울,11
37.51869,126.90957,"2-21, 2-28 우성타워",,,서울,11
37.52554,126.87055,"962, Mokdong,",Yangcheon-gu,,Seoul,11
37.517035,126.910111,"143-3, Yeongdeungpo-dong 1ga",Yeongdeungpo,,seoul,11
37.520829,126.868968,Mokdong Seoro,1F,,Seoul,11
37.533873,126.901006,"Dangsandong 5o-ga, 16-7",,,Seoul,11
37.52804,126.870635,"923, Mok-dong, Yangcheon-gu",,,Seoul,11
37.533081,126.903824,Dangsan-dong 6-ga,Yeongdeungpo-gu,,Seoul,11
37.535179,126.900134,338-1 Dangsan-dong 6-ga Yeongdeungpo-gu,,,Seoul,11
37.53636,126.88212,908-34.   Mok-dong Yangcheon-gu Seoul,,,Seoul,11
37.535264,126.878907,907-18,"Mok-dong, Yangcheon-gu",,Seoul,11
37.537244,126.894574,98-5 yangpyeong4ga,yeongdeungpogu,,seoul,11
37.52601,126.868514,Omokro,,,Seoul,11
37.538176,126.893541,64-3 Yangpyeongdong 5o-ga,,,Yeongdeungpo-gu,11
37.53638,126.87856,"우성에펠타운 101,116,203호",,,서울,11
37.501573,126.882536,Guro-dong 573,Guro-gu,,Seoul,11
37.526649,126.863739,Mokdongro,,,Seoul,11
37.50459,126.910067,252-9.Singil-dong Yeongdeungpo-gu,,,Seoul,11
37.527811,126.916961,Yoido 17-3,Yeongdeungpo-gu,,Seoul,11
37.526631,126.918208,17-9 Yeouido-dong,Yeongdeungpo-gu,,Seoul,11
37.515249,126.859488,311-3,,,Seoul,11
37.522018,126.858959,Sinwolro,,,Seoul,11
37.527789,126.920234,15-15. Yeouido-dong Yeongdeungpo-guSeoul,,,Seoul,11
37.535071,126.863178,"772-67,Hwagok 4-dong",Gangseo-gu,,Seoul,11
37.530426,126.920046,14 Yeouido-dong,Yeongdeungpo-gu,,Seoul,11
37.53044,126.92106,13-19 남중빌딩,,,서울,11
37.524893,126.924166,23-2,Yeoui-dong,,Yeongdeungpo-gu,11
37.52404,126.92452,23-9,,,서울,11
37.525273,126.924668,"23 & 23-1, Yoido-Dong, Yongdongpo-Gu","1F, #101",IFC Mall,Seoul,11
37.520956,126.925615,Yeouidodong 23-6,,,Seoul,11
37.521337,126.926024,Yeoidoro,,,Seoul,11
37.50593,127.05793,942-5 1층,,,서울,11
37.507536,127.057507,157-36 samsung,Gangnamgu,,Seoul,11
37.50704,127.05555,144-25 태리타워 1층,,,서울,11
37.503398,127.058908,960-5,gangnamgu,,Seoul,11
37.507358,127.061891,944-31 Daechi-dong,,,Gangnam-gu. seoul,11
37.509144,127.060791,159 samseong- dong,gangnam-gu,,seoul,11
37.50378,127.0512,889-70 세화빌딩 1층,,,서울,11
37.51173,127.059184,159 samseong-dong,Gangnam-gu,,seoul,11
37.512346,127.059029,"O103 Coex Mall 159, Samsung-dong, Gangna",,,Seoul,11
37.510743,127.063542,160-28,,,Seoul,11
37.505157,127.049397,141-28 samseong dong,gangnam-gu,,seoul,11
37.49966,127.06222,988-17,,,서울,11
37.513232,127.059798,159 Samseong-dong,,,Seoul,11
37.50394,127.04851,708-6 LG화재 빌딩,,,서울,11
37.49805,127.060204,941-19 Daechidong,Gangnamgu,,Seoul,11
37.49878,127.05207,922-1 Daechi-dong,gangnam-gu,,seoul,11
37.51354,127.05272,51,,,서울,11
37.500655,127.067051,993-2 Daechi-dong,Gangnam-gu,,Seoul,11
37.505053,127.046577,697-45 Yeoksam 1-dong,Gangnam-gu,,Seoul,11
37.496654,127.055276,"1024, Daechidong, Gangnam-gu",,,Seoul,11
37.515351,127.060109,"91-31, Samseong-dong, Gangnam-gu",,,Seoul,11
37.499386,127.048547,755 Yeoksam-dong,gangnam-gu,,seoul,11
37.515128,127.063265,108-6 samseong-dong,,,Gangnam-gu seoul,11
37.503971,127.044725,702-10 Yeoksam-dong,Gangnam-gu,,Seoul,11
37.510573,127.045794,Bongeunsa-ro,Gangnamgu,,Seoul,11
37.50272,127.04431,706-1,,,서울,11
37.49804,127.06849,994-10,,,서울,11
37.494815,127.062195,599 Daechi-dong,,,"Gangnam-gu, seoul",11
37.510749,127.04455,"37-17 samsung-dong,Gangnam-gu",,,Seoul,11
37.494724,127.062632,599 Daechi-dong,gangnam-gu,,Seoul,11
37.503126,127.042219,663-32,,,seoul,11
37.50079,127.042988,721-17 Yeoksam-dong,Gangnam-gu,,seoul,11
37.49335,127.06191,507 원플러스상가 107호,,,서울,11
37.492186,127.057365,"651, Daechi-dong,Gangnam-gu",,,Seoul,11
37.518834,127.051359,"53, Samsung-Dong, Gangnam-Gu",1F,Bora TR Building,Seoul,11
37.50237,127.0407,677-25 큰길타워,,,서울,11
37.50898,127.04039,681 금강빌딩 1-2층,,,서울,11
37.518279,127.04587,44-12 cheongdamdong,Gangnam,,Seoul,11
37.490072,127.054889,467-17 타워팰리스Ⅱ F 지하1층,,,서울,11
37.522232,127.056505,132-1,Gangnam,,Seoul,11
